Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
142.00	2.0000	0.34112	2.9315	1214.5	1800.8	40.531	8.2722	12.422	938.80	0.046709	5.3085e-06	0.096060	vapor
143.00	2.0000	0.33873	2.9522	1222.8	1813.3	40.619	8.2978	12.447	941.61	0.045459	5.3349e-06	0.096724	vapor
144.00	2.0000	0.33638	2.9729	1231.1	1825.7	40.706	8.3232	12.472	944.42	0.044231	5.3613e-06	0.097387	vapor
145.00	2.0000	0.33405	2.9935	1239.5	1838.2	40.792	8.3483	12.497	947.21	0.043027	5.3876e-06	0.098051	vapor
146.00	2.0000	0.33176	3.0142	1247.9	1850.7	40.878	8.3733	12.521	950.00	0.041844	5.4138e-06	0.098714	vapor
147.00	2.0000	0.32950	3.0349	1256.3	1863.2	40.964	8.3980	12.546	952.78	0.040683	5.4400e-06	0.099376	vapor
148.00	2.0000	0.32727	3.0556	1264.7	1875.8	41.049	8.4225	12.570	955.55	0.039544	5.4661e-06	0.10004	vapor
149.00	2.0000	0.32507	3.0763	1273.1	1888.4	41.133	8.4469	12.594	958.32	0.038425	5.4922e-06	0.10070	vapor
150.00	2.0000	0.32290	3.0969	1281.6	1901.0	41.218	8.4710	12.618	961.07	0.037326	5.5182e-06	0.10136	vapor
151.00	2.0000	0.32076	3.1176	1290.1	1913.6	41.302	8.4948	12.641	963.82	0.036247	5.5441e-06	0.10202	vapor
152.00	2.0000	0.31864	3.1383	1298.6	1926.3	41.385	8.5185	12.664	966.56	0.035187	5.5700e-06	0.10268	vapor
153.00	2.0000	0.31656	3.1590	1307.2	1939.0	41.468	8.5420	12.688	969.30	0.034145	5.5958e-06	0.10334	vapor
154.00	2.0000	0.31450	3.1796	1315.7	1951.6	41.551	8.5652	12.711	972.03	0.033122	5.6215e-06	0.10400	vapor
155.00	2.0000	0.31247	3.2003	1324.3	1964.4	41.633	8.5882	12.733	974.75	0.032117	5.6472e-06	0.10466	vapor
156.00	2.0000	0.31046	3.2210	1332.9	1977.1	41.715	8.6110	12.756	977.46	0.031129	5.6728e-06	0.10532	vapor
157.00	2.0000	0.30848	3.2417	1341.6	1989.9	41.797	8.6336	12.778	980.17	0.030158	5.6984e-06	0.10598	vapor
158.00	2.0000	0.30653	3.2623	1350.2	2002.7	41.878	8.6560	12.800	982.87	0.029204	5.7239e-06	0.10663	vapor
159.00	2.0000	0.30460	3.2830	1358.9	2015.5	41.959	8.6782	12.822	985.56	0.028266	5.7494e-06	0.10729	vapor
160.00	2.0000	0.30269	3.3037	1367.6	2028.3	42.039	8.7001	12.844	988.25	0.027343	5.7747e-06	0.10794	vapor
161.00	2.0000	0.30081	3.3243	1376.3	2041.2	42.119	8.7218	12.865	990.93	0.026436	5.8001e-06	0.10860	vapor
162.00	2.0000	0.29895	3.3450	1385.0	2054.0	42.199	8.7433	12.886	993.60	0.025545	5.8254e-06	0.10925	vapor
163.00	2.0000	0.29712	3.3657	1393.8	2066.9	42.279	8.7646	12.907	996.27	0.024668	5.8506e-06	0.10990	vapor
164.00	2.0000	0.29530	3.3864	1402.6	2079.9	42.358	8.7857	12.928	998.93	0.023805	5.8758e-06	0.11055	vapor
165.00	2.0000	0.29351	3.4070	1411.4	2092.8	42.436	8.8065	12.949	1001.6	0.022956	5.9009e-06	0.11120	vapor
166.00	2.0000	0.29174	3.4277	1420.2	2105.8	42.514	8.8272	12.969	1004.2	0.022122	5.9260e-06	0.11185	vapor
167.00	2.0000	0.28999	3.4484	1429.1	2118.7	42.592	8.8476	12.989	1006.9	0.021300	5.9510e-06	0.11250	vapor
168.00	2.0000	0.28827	3.4690	1437.9	2131.7	42.670	8.8678	13.009	1009.5	0.020492	5.9759e-06	0.11315	vapor
169.00	2.0000	0.28656	3.4897	1446.8	2144.8	42.747	8.8878	13.029	1012.2	0.019697	6.0008e-06	0.11379	vapor
170.00	2.0000	0.28487	3.5103	1455.7	2157.8	42.824	8.9076	13.049	1014.8	0.018914	6.0257e-06	0.11444	vapor
171.00	2.0000	0.28321	3.5310	1464.7	2170.9	42.901	8.9272	13.068	1017.4	0.018144	6.0505e-06	0.11508	vapor
172.00	2.0000	0.28156	3.5517	1473.6	2183.9	42.977	8.9466	13.087	1020.0	0.017385	6.0753e-06	0.11573	vapor
173.00	2.0000	0.27993	3.5723	1482.6	2197.0	43.053	8.9658	13.106	1022.6	0.016639	6.1000e-06	0.11637	vapor
174.00	2.0000	0.27832	3.5930	1491.5	2210.1	43.129	8.9847	13.125	1025.2	0.015903	6.1246e-06	0.11701	vapor
175.00	2.0000	0.27673	3.6137	1500.5	2223.3	43.204	9.0035	13.143	1027.8	0.015179	6.1492e-06	0.11765	vapor
176.00	2.0000	0.27515	3.6343	1509.6	2236.4	43.279	9.0220	13.162	1030.4	0.014466	6.1738e-06	0.11828	vapor
177.00	2.0000	0.27360	3.6550	1518.6	2249.6	43.353	9.0404	13.180	1033.0	0.013764	6.1983e-06	0.11892	vapor
178.00	2.0000	0.27206	3.6756	1527.7	2262.8	43.428	9.0585	13.198	1035.6	0.013073	6.2227e-06	0.11955	vapor
179.00	2.0000	0.27054	3.6963	1536.7	2276.0	43.502	9.0765	13.216	1038.2	0.012391	6.2472e-06	0.12019	vapor
180.00	2.0000	0.26904	3.7170	1545.8	2289.2	43.575	9.0942	13.233	1040.7	0.011720	6.2715e-06	0.12082	vapor
181.00	2.0000	0.26755	3.7376	1554.9	2302.5	43.649	9.1118	13.250	1043.3	0.011059	6.2958e-06	0.12145	vapor
182.00	2.0000	0.26608	3.7583	1564.1	2315.7	43.722	9.1291	13.268	1045.9	0.010407	6.3201e-06	0.12208	vapor
183.00	2.0000	0.26463	3.7789	1573.2	2329.0	43.795	9.1463	13.285	1048.4	0.0097653	6.3443e-06	0.12271	vapor
184.00	2.0000	0.26319	3.7996	1582.4	2342.3	43.867	9.1632	13.301	1051.0	0.0091324	6.3685e-06	0.12334	vapor
185.00	2.0000	0.26176	3.8202	1591.6	2355.6	43.939	9.1800	13.318	1053.5	0.0085086	6.3927e-06	0.12396	vapor
186.00	2.0000	0.26036	3.8409	1600.7	2368.9	44.011	9.1966	13.334	1056.1	0.0078938	6.4168e-06	0.12459	vapor
187.00	2.0000	0.25896	3.8616	1610.0	2382.3	44.083	9.2130	13.351	1058.6	0.0072876	6.4408e-06	0.12521	vapor
188.00	2.0000	0.25759	3.8822	1619.2	2395.6	44.154	9.2292	13.367	1061.1	0.0066900	6.4648e-06	0.12583	vapor
189.00	2.0000	0.25622	3.9029	1628.4	2409.0	44.225	9.2452	13.383	1063.7	0.0061008	6.4888e-06	0.12645	vapor
190.00	2.0000	0.25487	3.9235	1637.7	2422.4	44.295	9.2610	13.398	1066.2	0.0055198	6.5127e-06	0.12707	vapor
191.00	2.0000	0.25354	3.9442	1647.0	2435.8	44.366	9.2767	13.414	1068.7	0.0049468	6.5366e-06	0.12769	vapor
192.00	2.0000	0.25222	3.9648	1656.3	2449.2	44.436	9.2921	13.429	1071.2	0.0043817	6.5604e-06	0.12831	vapor
193.00	2.0000	0.25091	3.9855	1665.6	2462.7	44.506	9.3074	13.444	1073.7	0.0038243	6.5842e-06	0.12892	vapor
194.00	2.0000	0.24962	4.0061	1674.9	2476.1	44.575	9.3225	13.459	1076.2	0.0032744	6.6079e-06	0.12953	vapor
195.00	2.0000	0.24834	4.0268	1684.2	2489.6	44.644	9.3375	13.474	1078.7	0.0027320	6.6316e-06	0.13015	vapor
196.00	2.0000	0.24707	4.0474	1693.6	2503.1	44.713	9.3522	13.488	1081.2	0.0021969	6.6553e-06	0.13076	vapor
197.00	2.0000	0.24582	4.0681	1702.9	2516.6	44.782	9.3668	13.503	1083.7	0.0016689	6.6789e-06	0.13136	vapor
198.00	2.0000	0.24457	4.0887	1712.3	2530.1	44.850	9.3812	13.517	1086.2	0.0011479	6.7025e-06	0.13197	vapor
199.00	2.0000	0.24335	4.1094	1721.7	2543.6	44.919	9.3954	13.531	1088.7	0.00063373	6.7260e-06	0.13258	vapor
200.00	2.0000	0.24213	4.1300	1731.1	2557.1	44.986	9.4095	13.545	1091.2	0.00012630	6.7495e-06	0.13318	vapor
201.00	2.0000	0.24092	4.1507	1740.5	2570.7	45.054	9.4234	13.559	1093.6	-0.00037452	6.7730e-06	0.13379	vapor
202.00	2.0000	0.23973	4.1713	1750.0	2584.2	45.121	9.4371	13.572	1096.1	-0.00086888	6.7964e-06	0.13439	vapor
203.00	2.0000	0.23855	4.1920	1759.4	2597.8	45.188	9.4506	13.586	1098.6	-0.0013569	6.8198e-06	0.13499	vapor
204.00	2.0000	0.23738	4.2126	1768.9	2611.4	45.255	9.4640	13.599	1101.0	-0.0018386	6.8432e-06	0.13559	vapor
205.00	2.0000	0.23622	4.2333	1778.4	2625.0	45.322	9.4773	13.612	1103.5	-0.0023143	6.8665e-06	0.13618	vapor
206.00	2.0000	0.23508	4.2539	1787.9	2638.6	45.388	9.4903	13.625	1105.9	-0.0027840	6.8897e-06	0.13678	vapor
207.00	2.0000	0.23394	4.2746	1797.4	2652.3	45.454	9.5032	13.638	1108.4	-0.0032477	6.9130e-06	0.13737	vapor
208.00	2.0000	0.23282	4.2952	1806.9	2665.9	45.520	9.5160	13.651	1110.8	-0.0037057	6.9362e-06	0.13797	vapor
209.00	2.0000	0.23170	4.3159	1816.4	2679.6	45.585	9.5286	13.663	1113.3	-0.0041580	6.9593e-06	0.13856	vapor
210.00	2.0000	0.23060	4.3365	1825.9	2693.2	45.651	9.5410	13.675	1115.7	-0.0046047	6.9824e-06	0.13915	vapor
211.00	2.0000	0.22951	4.3572	1835.5	2706.9	45.716	9.5533	13.688	1118.1	-0.0050460	7.0055e-06	0.13973	vapor
212.00	2.0000	0.22842	4.3778	1845.1	2720.6	45.780	9.5654	13.700	1120.6	-0.0054819	7.0286e-06	0.14032	vapor
213.00	2.0000	0.22735	4.3985	1854.6	2734.3	45.845	9.5774	13.711	1123.0	-0.0059125	7.0516e-06	0.14091	vapor
214.00	2.0000	0.22629	4.4191	1864.2	2748.0	45.909	9.5892	13.723	1125.4	-0.0063379	7.0746e-06	0.14149	vapor
