Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
25.819	0.38000	63.383	0.015777	59.702	65.697	2.6594	6.0039	14.252	930.79	-0.26137	8.9051e-06	0.10160	0.00099089	4.5981	0.21748	380.62	463.26	18.057	6.8420	16.338	376.99	13.706	1.3311e-06	0.025862
25.949	0.39000	63.165	0.015831	61.420	67.594	2.7265	6.0122	14.420	925.29	-0.23961	8.8204e-06	0.10147	0.00096968	4.7191	0.21191	380.50	463.15	17.970	6.8563	16.527	377.23	13.613	1.3404e-06	0.026120
26.076	0.40000	62.949	0.015886	63.122	69.476	2.7928	6.0205	14.589	919.83	-0.21783	8.7378e-06	0.10134	0.00094889	4.8405	0.20659	380.37	463.01	17.884	6.8706	16.719	377.46	13.523	1.3496e-06	0.026376
26.202	0.41000	62.735	0.015940	64.809	71.345	2.8582	6.0286	14.760	914.40	-0.19603	8.6573e-06	0.10120	0.00092852	4.9624	0.20151	380.23	462.85	17.800	6.8850	16.916	377.67	13.434	1.3587e-06	0.026632
26.325	0.42000	62.521	0.015995	66.483	73.201	2.9228	6.0367	14.934	909.01	-0.17418	8.5787e-06	0.10106	0.00090854	5.0849	0.19666	380.07	462.67	17.717	6.8994	17.116	377.87	13.347	1.3678e-06	0.026888
26.446	0.43000	62.309	0.016049	68.143	75.044	2.9866	6.0446	15.109	903.65	-0.15229	8.5019e-06	0.10092	0.00088893	5.2079	0.19202	379.90	462.46	17.636	6.9138	17.320	378.06	13.262	1.3769e-06	0.027143
26.565	0.44000	62.097	0.016104	69.791	76.877	3.0497	6.0525	15.287	898.32	-0.13033	8.4269e-06	0.10078	0.00086970	5.3315	0.18756	379.71	462.24	17.556	6.9282	17.528	378.23	13.178	1.3859e-06	0.027398
26.682	0.45000	61.887	0.016158	71.427	78.698	3.1120	6.0604	15.468	893.02	-0.10830	8.3536e-06	0.10064	0.00085081	5.4558	0.18329	379.50	461.99	17.477	6.9427	17.740	378.39	13.096	1.3948e-06	0.027654
26.798	0.46000	61.678	0.016213	73.052	80.510	3.1737	6.0682	15.652	887.75	-0.086191	8.2818e-06	0.10049	0.00083226	5.5806	0.17919	379.29	461.72	17.399	6.9572	17.957	378.54	13.016	1.4037e-06	0.027909
26.912	0.47000	61.469	0.016268	74.666	82.312	3.2348	6.0759	15.838	882.50	-0.063984	8.2115e-06	0.10034	0.00081405	5.7061	0.17525	379.06	461.43	17.322	6.9717	18.179	378.67	12.937	1.4126e-06	0.028165
27.024	0.48000	61.261	0.016324	76.270	84.105	3.2952	6.0837	16.027	877.28	-0.041674	8.1427e-06	0.10019	0.00079615	5.8322	0.17146	378.82	461.12	17.246	6.9863	18.406	378.80	12.859	1.4214e-06	0.028421
27.134	0.49000	61.054	0.016379	77.864	85.890	3.3551	6.0913	16.220	872.08	-0.019250	8.0751e-06	0.10004	0.00077855	5.9590	0.16781	378.56	460.79	17.172	7.0009	18.637	378.92	12.782	1.4303e-06	0.028678
27.243	0.50000	60.847	0.016435	79.450	87.667	3.4144	6.0990	16.416	866.90	0.0032985	8.0089e-06	0.099892	0.00076126	6.0866	0.16430	378.29	460.44	17.098	7.0155	18.874	379.02	12.707	1.4391e-06	0.028935
